qc_metric	comparison	method	value	n	library
coverage	RNA1	mean	2291.9714	15000	library1
coverage	RNA2	mean	2921.955066666667	15000	library1
coverage	RNA3	mean	2526.7274666666667	15000	library1
coverage	DNA	mean	2740.7726	15000	library1
raw_linear_reprod	RNA1_vs_RNA2	pearson	0.9828400240677839	15000	library1
raw_linear_reprod	RNA1_vs_RNA2	spearman	0.9597298813816677	15000	library1
raw_linear_reprod	RNA1_vs_RNA3	pearson	0.9825543433261459	15000	library1
raw_linear_reprod	RNA1_vs_RNA3	spearman	0.9622606142268605	15000	library1
raw_linear_reprod	RNA2_vs_RNA3	pearson	0.986699896844484	15000	library1
raw_linear_reprod	RNA2_vs_RNA3	spearman	0.9678018554717012	15000	library1
raw_log_reprod	RNA1_vs_RNA2	pearson	0.9417846077043616	15000	library1
raw_log_reprod	RNA1_vs_RNA2	spearman	0.9597298813816677	15000	library1
raw_log_reprod	RNA1_vs_RNA3	pearson	0.9533377533167802	15000	library1
raw_log_reprod	RNA1_vs_RNA3	spearman	0.9622606142268605	15000	library1
raw_log_reprod	RNA2_vs_RNA3	pearson	0.9458206105308844	15000	library1
raw_log_reprod	RNA2_vs_RNA3	spearman	0.9678018554717012	15000	library1
bc_removed	DNA	count	1214.0	15000	library1
bc_removed	RNA	count	1696.0	15000	library1
cpm_linear_reprod	RNA1_vs_RNA2	pearson	0.9820110246575153	12090	library1
cpm_linear_reprod	RNA1_vs_RNA2	spearman	0.9510179859388029	12090	library1
cpm_linear_reprod	RNA1_vs_RNA3	pearson	0.9816626529940785	12090	library1
cpm_linear_reprod	RNA1_vs_RNA3	spearman	0.9503642976431951	12090	library1
cpm_linear_reprod	RNA2_vs_RNA3	pearson	0.9860704719114988	12090	library1
cpm_linear_reprod	RNA2_vs_RNA3	spearman	0.963617761787787	12090	library1
cpm_log_reprod	RNA1_vs_RNA2	pearson	0.9492249072552703	12090	library1
cpm_log_reprod	RNA1_vs_RNA2	spearman	0.9510179859388029	12090	library1
